Date,CountryCode,NumberOfFans
2018-10-10,DJ,3336
2018-10-10,DZ,38672
2018-10-10,ES,2452
2018-10-10,FR,72381
2018-10-10,GA,23607
2018-10-10,GB,1989
2018-10-10,GF,1672
2018-10-10,GH,2286
2018-10-10,GN,36216
2018-10-10,GP,5349
2018-10-10,HT,22816
2018-10-10,IT,6742
2018-10-10,KM,4849
2018-10-10,MA,12307
2018-10-10,MG,72128
2018-10-10,ML,40116
2018-10-10,MQ,5392
2018-10-10,MR,4017
2018-10-10,MU,23959
2018-10-10,NC,4982
2018-10-10,NE,10242
2018-10-10,PF,5109
2018-10-10,RE,20768
2018-10-10,RW,1570
2018-10-10,SN,82663
2018-10-10,TD,3236
2018-10-10,TG,9833
2018-10-10,TN,17710
2018-10-10,US,11179
2018-10-10,YT,1966
2018-10-10,ZA,2448
2018-10-11,AO,5905
2018-10-11,BE,10562
2018-10-11,BF,42980
2018-10-11,BI,3183
2018-10-11,BJ,13289
2018-10-11,CA,10410
2018-10-11,CD,49832
2018-10-11,CF,4759
2018-10-11,CG,18359
2018-10-11,CH,1667
2018-10-11,CI,110785
2018-10-11,CM,100811
2018-10-11,CN,1516
2018-10-11,DE,3260
2018-10-11,DJ,3349
2018-10-11,DZ,38751
2018-10-11,ES,2456
2018-10-11,FR,72544
2018-10-11,GA,23653
2018-10-11,GB,2000
2018-10-11,GF,1678
2018-10-11,GH,2291
2018-10-11,GN,36304
2018-10-11,GP,5354
2018-10-11,HT,22894
2018-10-11,IT,6754
2018-10-11,KM,4854
2018-10-11,MA,12344
2018-10-11,MG,72243
2018-10-11,ML,40184
2018-10-11,MQ,5400
2018-10-11,MR,4029
2018-10-11,MU,23996
2018-10-11,NC,4994
2018-10-11,NE,10253
2018-10-11,PF,5114
2018-10-11,RE,20783
2018-10-11,RW,1583
2018-10-11,SN,82820
2018-10-11,TD,3237
2018-10-11,TG,9850
2018-10-11,TN,17732
2018-10-11,US,11214
2018-10-11,YT,1965
2018-10-11,ZA,2454
2018-10-12,AO,5927
2018-10-12,BE,10617
2018-10-12,BF,43073
2018-10-12,BI,3192
2018-10-12,BJ,13315
2018-10-12,CA,10424
2018-10-12,CD,49977
2018-10-12,CF,4770
2018-10-12,CG,18404
2018-10-12,CH,1671
2018-10-12,CI,110999
2018-10-12,CM,101016
2018-10-12,CN,1520
2018-10-12,DE,3275
2018-10-12,DJ,3358
2018-10-12,DZ,38802
2018-10-12,ES,2457
2018-10-12,FR,72708
2018-10-12,GA,23704
2018-10-12,GB,2000
2018-10-12,GF,1680
2018-10-12,GH,2293
2018-10-12,GN,36394
2018-10-12,GP,5351
2018-10-12,HT,22958
